id,name,pen_name,gender,genre,age
1,Deloris Mellers,La Follette,F,Comedy|Romance,55
2,Zak Cases,Dakota,O,Action|Crime,97
3,Waverley Faiers,Ramsey,O,Adventure|Children,55
4,Daffie Grouse,Tomscot,O,Drama,68
5,Chloe Glantz,Boyd,F,Action|Adventure|Fantasy,53
6,Alexis Dale,Hovde,O,Comedy|Drama,20
7,Corie Mortimer,Becker,M,Comedy|Romance,44
8,Emmye Florentine,Boyd,M,Adventure|Drama,84
9,Jasper Fallen,Miller,F,Horror|Romance|Thriller,80
10,Marcia Grinnell,Warner,O,Romance,85
11,Marna McAllaster,Moulton,M,Comedy|Romance,99
12,Chet Kalkofer,Basil,O,Action|Comedy|Thriller,91
13,Gordan Varah,Brentwood,O,Drama,74
14,Ginnie Servis,Bunting,M,Documentary,51
15,Wat Di Lucia,Mitchell,O,Comedy,86
16,Mimi Oxenham,Dawn,O,Drama|Film-Noir,37
17,Madeleine Kira,Hermina,O,Drama,43
18,Jonis Bothie,Bashford,F,Documentary|IMAX,66
19,Lazaro Tremathack,Barby,F,Adventure|Drama,61
20,Willyt Deverill,East,O,Comedy|Documentary,15
21,Nestor McKerrow,Colorado,M,Documentary,52
22,Artus Szachniewicz,Golf View,O,Action|Adventure|Romance,39
23,Dulsea Elintune,Beilfuss,O,Comedy|Drama|Romance,44
24,Egon Hovington,Vermont,F,Crime,26
25,Silvano Paroni,Gina,F,Documentary,68
26,Floyd Shenton,Elgar,M,Comedy,91
27,Bridgette Colaton,Corry,F,Documentary|Musical,83
28,Son Coneley,Summit,M,Drama,43
29,Sayre Kliner,Delladonna,F,Adventure|Sci-Fi,80
30,Eadmund Ishaki,Doe Crossing,F,Comedy|Horror,63
31,Lu Doornbos,Kropf,O,Comedy|Romance,63
32,Stephi Robatham,Carioca,O,Drama,71
33,Giacomo Schimon,Dorton,F,Comedy|Romance,32
34,Cecil Bison,Utah,O,Comedy|Drama,35
35,Daniel Ganderton,Toban,M,Drama,18
36,Christy Conkling,Scott,O,Drama|War,79
37,Valaria Biddiss,Grover,F,Drama|War,31
